region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
Mediterranean,"October 14, 2018",2018,1,NA,1,NA,Presumed drowning,"Off the coast of Arzew, province of Oran, Algeria","35.973656616085, -0.352090264063","https://bit.ly/2yN8fa3, https://bit.ly/2OuR0VV"
US-Mexico Border,"October 14, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near Éjido El Bayito, Nuevo Laredo, Tamaulipas, Mexico","27.500016908291, -99.501840408371","https://bit.ly/2IZgCnI, https://bit.ly/2CL5B9d"
Middle East,"October 14, 2018",2018,22,1,NA,4,Vehicle Accident,"Road near Adnan Menderes airport, Izmir, Turkey","38.277054882761, 27.182584225098","https://yhoo.it/2IW234g, https://bit.ly/2QT1Kds, https://bit.ly/2OqiID2"
US-Mexico Border,"October 13, 2018",2018,3,NA,NA,NA,Unknown (skeletal remains),"Brooks County, Texas, USA","27.027305700000, -98.221297900000",https://bit.ly/2D4Mc3k
Europe,"October 13, 2018",2018,11,NA,NA,NA,Vehicle Accident,"Kavala - Afrioni beach road, Sarakina, Greece","40.946035470324, 24.432263735596",https://bit.ly/2pTT5vR
US-Mexico Border,"October 13, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near International Bridge II Juárez-Lincol, Nuevo Laredo, Tamaulipas, Mexico","27.499961707713, -99.503442093950","https://bit.ly/2OUJy5N, https://bit.ly/2CgPwXP"
Mediterranean,"October 12, 2018",2018,20,NA,NA,NA,Drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain","36.125482848253, -3.063179920313","https://bit.ly/2EmIlA6, https://bit.ly/2RRb3fd"
Mediterranean,"October 12, 2018",2018,2,1,NA,1,Presumed drowning,"20km off the coast of Cap Falcon, Ain El Türck, province of Oran, Algeria","35.824565299138, -0.803768973047","https://bit.ly/2ynrRC8, https://bit.ly/2CrCnvj"
Mediterranean,"October 12, 2018",2018,4,NA,1,NA,Presumed drowning,"8 nautical miles off the coast of Stidia, province of Mostaganem, Algeria","35.968663407358, -0.020727710156","https://bit.ly/2NMYGNG, https://bit.ly/2Pe5Mjr, https://bit.ly/2OudC8S, https://bit.ly/2O6szJ8"
US-Mexico Border,"October 11, 2018",2018,1,NA,NA,NA,Presumed drowning,"Río Bravo, near Zapata, Zapata County, Texas, USA","26.867147113445, -99.312967553223",https://bit.ly/2CS3Kj5
South America,"October 11, 2018",2018,3,1,1,NA,Presumed drowning,"Táchira river, municipality of Bolívar, Venezuela, near border with Colombia","7.752677115492, -72.472915616919","https://bit.ly/2yLDan4, https://bit.ly/2NKRIcl, https://bit.ly/2NPwnhQ"
Mediterranean,"October 11, 2018",2018,1,NA,1,NA,Presumed drowning,"Off the coast of Cap Falcon, Ain El Türck, province of Oran, Algeria","35.812872875659, -0.806515555078","https://bit.ly/2P6Eo6G, https://bit.ly/2QVBbnR, https://bit.ly/2CrCnvj"
Mediterranean,"October 11, 2018",2018,1,NA,NA,NA,Presumed drowning,"16 nautical miles off the coast of Marsat El Hadjadj, province of Oran, Algeria","35.818105158253, -0.168227100000","https://bit.ly/2P6Eo6G, https://bit.ly/2QVBbnR, https://bit.ly/2CrCnvj"
US-Mexico Border,"October 11, 2018",2018,1,NA,NA,NA,Presumed drowning,"Río Bravo, near La Joya, Hidalgo County, Texas, USA","26.220454957995, -98.473941930103",https://bit.ly/2IV1UhH
Mediterranean,"October 11, 2018",2018,2,NA,NA,NA,Drowning,"Off the coast of Tangiers, Morocco","35.870826490690, -5.847687210156",https://www.facebook.com/watchthemed.alarmphone/posts/2235028806771350
US-Mexico Border,"October 10, 2018",2018,1,NA,NA,NA,Presumed drowning,"Río Bravo, near municipality of Rio Bravo, Webb County, Texas, USA","27.363578886489, -99.503473277954",https://bit.ly/2CS3Kj5
Mediterranean,"October 10, 2018",2018,2,NA,2,NA,Presumed drowning,"70km off the coast of Cap Falcon, Ain El Türck, province of Oran, Algeria","35.817327335279, -0.801022391016","https://bit.ly/2P6Eo6G, https://bit.ly/2QVBbnR, https://bit.ly/2CrCnvj"
Europe,"October 10, 2018",2018,3,3,NA,1,Murdered,"Bodies recovered near Evros/Meriç river, east of Didymoteicho, Greece","41.339916614722, 26.519326470020","https://bit.ly/2C8miKI, https://bit.ly/2pU6Quw, https://bbc.in/2AaYjJr"
US-Mexico Border,"October 09, 2018",2018,1,NA,NA,NA,Unknown,"Near Brownsville, Cameron County, Texas, USA","26.010098116239, -97.398606846875",https://bit.ly/2IV1UhH
Mediterranean,"October 08, 2018",2018,34,1,1,11,Drowning,"Off the coast of off the coast of Karaburun district, Izmir, Turkey","38.798437504788, 26.517544518555","https://bit.ly/2QPshbm, https://bit.ly/2yl2Rvs"
Mediterranean,"October 07, 2018",2018,6,NA,1,NA,Drowning,"Off the coast of Djerba, near Zarzis, Tunisia","33.919350740267, 11.347771211719","https://bit.ly/2Rz97rp, https://bit.ly/2Nu1O0X"
Central America,"October 03, 2018",2018,1,NA,1,NA,Fall from train,"Train tracks near Tuzuapan (San Isidro), Cañada Morelos, Puebla, Mexico","18.764062500000, -97.406687500000","https://bit.ly/2QvdthN, https://bit.ly/2ycbcAD"
Europe,"October 03, 2018",2018,1,NA,1,NA,Exhaustion,"Forest near Siva Reka, Bulgaria, near border with Greece","41.743599816322, 26.063311471875",https://bit.ly/2NpNBlH
Sub-Saharan Africa,"October 03, 2018",2018,2,NA,NA,NA,Presumed drowning,Unspecified location off the coast of Guinea-Bissau,"11.538152737709, -17.142159215820",NA
North Africa,"October 02, 2018",2018,1,NA,1,NA,Fall from steep slope,"Dar El Kebdani, near Nador, Morocco","35.129407600000, -3.323790200000","https://bit.ly/2ycOqsl, https://www.facebook.com/AmdhNador/posts/2194494590762804"
Mediterranean,"October 01, 2018",2018,34,NA,NA,2,Drowning,Unspecified location between Morocco and Spain,"35.936532863732, -6.646877176971","https://bit.ly/2NVSyYx, https://bit.ly/2P3OJgx, https://bit.ly/2OsxMix, https://bit.ly/2zKrdQu, https://www.facebook.com/AmdhNador/posts/2194737700738493"
US-Mexico Border,"October 01, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo near Guerrero, Mexico, in south of Maverick County, Texas, USA","28.332460772696, -100.303293400160","https://bit.ly/2IwAIpf, https://bit.ly/2OEOETm"
Mediterranean,"October 01, 2018",2018,1,NA,1,NA,Presumed drowning,"Body spotted floating northeast of Zuwarah, Libya (see coordinates)","33.533312500000, 12.633312500000","https://bit.ly/2NgYNB9, https://bit.ly/2QjJ0n0"
Mediterranean,"September 30, 2018",2018,7,4,2,NA,Drowning,"Off the coast of Enez, Edirne province, Turkey","40.715396386106, 26.025522486328",https://bit.ly/2xO9QfZ
US-Mexico Border,"September 30, 2018",2018,2,NA,NA,NA,Unknown,"Imperial County, California, USA","32.705222754724, -115.647349838320",https://bit.ly/2DGXcoF
US-Mexico Border,"September 30, 2018",2018,1,NA,1,NA,Unknown,"Body found on banks of Río Bravo, near Mission, Hidalgo County, Texas, USA","26.157687500000, -98.378437500000",https://bit.ly/2NXSK9V
US-Mexico Border,"September 30, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near El Indio, Maverick County, Texas, USA","28.497581002661, -100.333312005250","https://bit.ly/2NuWrP1, https://bit.ly/2E80IbP"
Mediterranean,"September 28, 2018",2018,1,1,NA,NA,Presumed drowning,"Herradura Bay, Almuñécar, Granada, Spain","36.728184551089, -3.746214307471","https://bit.ly/2P8peug, https://bit.ly/2xOmhZy"
North Africa,"September 28, 2018",2018,1,NA,1,NA,Shot,"Al-Saqda, Bani Walid, Libya","31.805169461996, 14.024836888672",https://bit.ly/2xSEBR0
US-Mexico Border,"September 26, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Ranch near Laredo, Webb County, Texas, USA","27.603398871036, -99.356489888281",https://bit.ly/2QjDzUY
US-Mexico Border,"September 25, 2018",2018,1,NA,1,NA,Presumed drowning,"Río Bravo, near Peñitas, Hidalgo County, Texas, USA","26.224438952801, -98.445105980426",https://bit.ly/2OiyleI
Mediterranean,"September 25, 2018",2018,1,1,NA,NA,Shot,"Off the coast of M'diq-Fnideq, Morocco","35.844528862139, -5.324127403955","https://reut.rs/2Q9CmQ5, https://bit.ly/2N7OKhO, https://bit.ly/2xP7FIq, https://www.facebook.com/AmdhNador/posts/2191562297722700, https://bit.ly/2R3KaV0"
US-Mexico Border,"September 25, 2018",2018,1,NA,1,NA,Unknown,"On the side of Dillon Road, Donna, Hidalgo County, Texas, USA","26.256393500000, -98.057509300000","https://bit.ly/2NMXxeb, https://bit.ly/2xI12IR"
Mediterranean,"September 25, 2018",2018,1,NA,1,NA,Presumed drowning,"Body recovered in Alboran Island, in Alboran Sea, between Morocco and Spain","35.938908600000, -3.035714100000",https://bit.ly/2NHj6N5
US-Mexico Border,"September 25, 2018",2018,1,NA,NA,NA,Unknown,"Pima County jurisdiction, Arizona, USA","32.087759600000, -112.905880200000",http://www.humaneborders.info/
US-Mexico Border,"September 25, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA","31.838942700000, -111.843298100000",http://www.humaneborders.info/
Europe,"September 23, 2018",2018,1,NA,1,NA,Presumed drowning,"Port of Calais, Pas-de-Calais, France","50.970998507163, 1.850203957581","https://bit.ly/2Q9tppN, https://bit.ly/2DIbRA7, https://bit.ly/2ObT4Rw"
Mediterranean,"September 23, 2018",2018,1,1,NA,NA,Presumed drowning,"Body retrieved at Cabo Negro beach, near Tetouan, Morocco","35.664937500000, -5.284312500000","https://bit.ly/2IyeS4D, https://bit.ly/2P7pUAh"
Mediterranean,"September 23, 2018",2018,1,1,NA,NA,Drowning,"Off the coast of Bodrum, Turkey en route to Kos, Greece","36.941480839183, 27.286349508984","https://bit.ly/2MYrrqz, https://bit.ly/2xzMOta, https://bit.ly/2Ob9UQI"
Mediterranean,"September 22, 2018",2018,1,NA,1,1,Drowning,"Off the coast of Akkar province, Lebanon en route to Cyprus","34.521407586436, 35.486568281250","https://reut.rs/2DnUdRF, https://bit.ly/2QRA9tP, https://yhoo.it/2OLFHVi"
US-Mexico Border,"September 21, 2018",2018,1,1,NA,NA,Unknown,"Ranch west of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA","27.028155603470, -98.209467310059","https://bit.ly/2QcSy33, https://bit.ly/2NElVtu"
US-Mexico Border,"September 21, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA","32.385979600000, -113.011515600000",http://www.humaneborders.info/
Central America,"September 21, 2018",2018,1,NA,1,NA,"Vehicle Accident, Hit by car","Near KM 285 of coastal highway in Tapachula, Chipas, Mexico","14.892968685740, -92.274523727261",https://bit.ly/2PZbLFm
Mediterranean,"September 21, 2018",2018,1,1,NA,NA,Presumed drowning,"Body recovered 1.5 miles off Punta Almina, Ceuta, Spain","35.904039081783, -5.272830745972",https://bit.ly/2xRzjEK
US-Mexico Border,"September 20, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Ranch north of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA","27.196149356670, -98.190176649023","https://bit.ly/2QcSy33, https://bit.ly/2OiyleI, https://bit.ly/2NElVtu"
Mediterranean,"September 20, 2018",2018,1,NA,NA,NA,Presumed drowning,"Body recovered in La Rábita Beach, Albuñol, Granada, Spain","36.744442395389, -3.167758518494","https://bit.ly/2xt31Am, https://bit.ly/2QIyGGh"
US-Mexico Border,"September 20, 2018",2018,1,NA,1,NA,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA","31.684811700000, -111.996353900000",http://www.humaneborders.info/
US-Mexico Border,"September 20, 2018",2018,1,NA,1,NA,Unknown,"Pima County jurisdiction, Arizona, USA","31.521728800000, -111.007408900000",http://www.humaneborders.info/
US-Mexico Border,"September 19, 2018",2018,1,NA,NA,NA,Unknown (skeletal remains),"El Comanche Ranch, near Eagle Pass, Maverick County, Texas, USA","28.628036100000, -100.158954100000",https://bit.ly/2PRZ9zJ
Mediterranean,"September 19, 2018",2018,1,NA,NA,NA,Presumed drowning,"15 nautical miles southwest of Alboran Island, Alboran Sea, Spain","35.876619034558, -3.037087391016","https://bit.ly/2MQvBRc, https://bit.ly/2O0gRUr"
US-Mexico Border,"September 19, 2018",2018,4,NA,NA,NA,Vehicle Accident,"State Route 79 near milepost 122.3, south of Forence, Arizona, USA","33.006477473452, -111.374376896790","https://abcn.ws/2xJVjkH, https://bit.ly/2xrY2zR, https://delmarvane.ws/2Dkz37f"
US-Mexico Border,"September 19, 2018",2018,1,NA,1,NA,Unknown,"Sawtooth Mountains, California, USA","32.869641713199, -116.349275353910",https://bit.ly/2PNC6df
Central America,"September 19, 2018",2018,1,NA,1,NA,Vehicle Accident,"Federal Highway 190, near San Pedro Totolapan, Oaxaca, Mexico","16.665014119834, -96.297290312134","https://bit.ly/2DhFJTH, https://bit.ly/2xpUk9V, https://bit.ly/2PZ94DD"
Mediterranean,"September 18, 2018",2018,1,NA,1,NA,Presumed drowning,"50 nautical miles south of Port of Motril, Granada, Spain","36.413971904222, -3.480957442578","https://bit.ly/2MThY3S, https://bit.ly/2MPNWh6"
North Africa,"September 17, 2018",2018,3,NA,3,NA,Unknown (decomposed remains),"100KM from Jaghboub, Libya, near border with Egypt","29.732195242955, 24.810723377344",https://bit.ly/2QG50JN
Mediterranean,"September 17, 2018",2018,3,3,NA,NA,Presumed drowning,"Bağlar Bay, Bodrum, province of Muğla, Turkey","37.006515703833, 27.431140814819","https://bit.ly/2OsaqGQ, https://bit.ly/2xwUg7T"
Mediterranean,"September 17, 2018",2018,1,1,NA,NA,Presumed drowning,"Herradura Bay, Almuñécar, Granada, Spain","36.727135137532, -3.747944917041","https://bit.ly/2MThY3S, https://bit.ly/2MPNWh6"
Mediterranean,"September 16, 2018",2018,1,1,NA,NA,Presumed drowning,"Unspecified location in Alboran Sea, between Morocco and Spain","36.072450542211, -3.002072231250","https://bit.ly/2NhbUHs, https://bit.ly/2xqv2aT, https://bit.ly/2xp7ILR"
US-Mexico Border,"September 16, 2018",2018,1,NA,1,NA,Drowning,"All American Canal, east of Calexico, California","32.675119338573, -115.360408899350","https://bit.ly/2NwTKSd, https://bit.ly/2DfIlkR"
US-Mexico Border,"September 15, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near Bvd. Luis Donaldo Colosio and Calle Hidalgo, Nuevo Laredo, Tamaulipas, Mexico","27.496566919972, -99.491563561902","https://bit.ly/2Nez7tH, https://bit.ly/2xn9TyE, https://bit.ly/2xct5jh"
Mediterranean,"September 15, 2018",2018,1,NA,NA,NA,Presumed drowning,"Body recovered in Playa Castell de Ferro, Gualchos, Granada, Spain","36.722084353020, -3.357001443347","https://bit.ly/2MThY3S, https://bit.ly/2MPNWh6"
Central America,"September 15, 2018",2018,1,NA,1,NA,Fall from train,"Train tracks near Las Palmas, near San Francisco Ixhuatán, Oaxaca, Mexico","16.437103353168, -94.574379006567",https://bit.ly/2NYr3gk
US-Mexico Border,"September 14, 2018",2018,1,NA,NA,NA,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA","32.087759600000, -112.905880200000",http://www.humaneborders.info/
US-Mexico Border,"September 13, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA","31.814667100000, -111.857700800000",http://www.humaneborders.info/
Mediterranean,"September 13, 2018",2018,1,NA,1,NA,Presumed drowning,"Body recovered near La Almadraba, Ceuta, Spain","35.915226361080, -5.269480794175",https://bit.ly/2Qqdrc3
Mediterranean,"September 13, 2018",2018,3,1,1,NA,Presumed drowning,"Bodies recovered near Beni Ensar, Nador province, Morocco","35.265581018218, -2.914681639551","https://bit.ly/2xdINuo, https://bit.ly/2p4e12C, https://bit.ly/2N9R8t4, https://bit.ly/2MtnZDX"
Middle East,"September 13, 2018",2018,1,NA,1,NA,Vehicle Accident,"Highway in Aksaray province, Turkey - died from injuries in Aksaray Training and Research Hospital","38.375852669921, 34.027607670570",https://bit.ly/2xckFsh
US-Mexico Border,"September 12, 2018",2018,1,NA,1,NA,Unknown,"Yuha desert, Imperial County, California, USA","32.692839200000, -115.816672900000",https://bit.ly/2xhMGyp
Europe,"September 12, 2018",2018,1,NA,1,NA,Stabbed,"E40 highway, near Wetteren, Belgium","50.966811406705, 3.850359244678","https://bit.ly/2MDwhcF, https://bit.ly/2D3HYK6"
US-Mexico Border,"September 11, 2018",2018,1,NA,1,NA,Dehydration,"Jacumba mountains, Imperial County, California, USA","32.719781100000, -116.172516800000",https://bit.ly/2xhMGyp
US-Mexico Border,"September 11, 2018",2018,1,NA,1,NA,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA","31.829413600000, -111.837116800000",http://www.humaneborders.info/
US-Mexico Border,"September 11, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA","32.386472500000, -112.872826200000",http://www.humaneborders.info/
Mediterranean,"September 11, 2018",2018,1,1,NA,NA,Presumed drowning,"Body recovered on Las Salinas beach, Roquetas de Mar, Almería, Spain","36.779379943873, -2.593665135165",https://bit.ly/2Mo7KYO
Mediterranean,"September 10, 2018",2018,6,3,3,1,Presumed drowning,"Beach in Driouch province, near Nador, Morocco","35.189678817192, -3.381137862305","https://bit.ly/2N7TjgZ, https://www.facebook.com/AmdhNador/posts/2183538558525074, https://www.facebook.com/AmdhNador/posts/2183505975194999"
US-Mexico Border,"September 10, 2018",2018,1,NA,1,NA,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA","31.500087200000, -111.474716200000",http://www.humaneborders.info/
Europe,"September 09, 2018",2018,1,NA,NA,NA,Hit by vehicle,"E40 highway, near Middelkerke, Belgium","51.142912111817, 2.866106903516","https://bit.ly/2Ml049L, https://bit.ly/2Nx0Uow"
Central America,"September 09, 2018",2018,2,NA,NA,NA,Shot,"Train tracks near Juan Rodríguez Clara, Veracruz, Mexico","17.996554923197, -95.414854964648","https://bit.ly/2xolg9f, https://bit.ly/2xhqLaw, https://bit.ly/2Mp03S8"
Central America,"September 09, 2018",2018,1,1,NA,NA,Violence,"Saltillo Highway, near García, Nuevo León, Mexico","25.731155452389, -100.539507605470","https://bit.ly/2pe7cvp, https://bit.ly/2pfhpYo"
Central America,"September 07, 2018",2018,1,NA,NA,NA,Unknown (decomposed remains),"KM 178 Highway between Monterrey and Reynosa, near General Bravo, Nuevo León, México","25.795434900000, -99.176062000000","https://bit.ly/2CUpICX, https://bit.ly/2CTGNwQ"
Mediterranean,"September 05, 2018",2018,6,NA,NA,NA,Presumed drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain","35.613805720401, -3.880978481250",https://www.facebook.com/helena.malenogarzon/posts/2081535261878780
Mediterranean,"September 05, 2018",2018,5,1,4,NA,Drowning,"62 miles south of Alboran Island, Alboran Sea, between Morocco and Spain","35.613574869223, -3.107125232813","https://bit.ly/2MVhjDX, https://bit.ly/2CrwRu0, https://www.facebook.com/helena.malenogarzon/posts/2081535261878780"
US-Mexico Border,"September 04, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA","32.057701900000, -112.143021500000",http://www.humaneborders.info/
Mediterranean,"September 03, 2018",2018,61,1,1,NA,Presumed drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain","35.752123340697, -4.375363246875","https://www.facebook.com/watchthemed.alarmphone/posts/2216612265279671, https://www.facebook.com/AmdhNador/posts/2201518753393721"
US-Mexico Border,"September 03, 2018",2018,1,NA,1,NA,Dehydration,"Ranch north of Laredo, Webb County, Texas, USA","27.622868783483, -99.356489888281","https://bit.ly/2p5d3mO, https://bit.ly/2N6im3T"
Mediterranean,"September 03, 2018",2018,5,NA,NA,NA,Presumed drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain","35.876619034558, -3.354317615625","https://bit.ly/2Ch5DGy, https://bit.ly/2LXMTv4"
US-Mexico Border,"September 02, 2018",2018,1,NA,NA,NA,Unknown (skeletal remains),"Ranch near Armstrong, Kenedy County, Texas, USA","26.883280977966, -97.855127623242",https://bit.ly/2oKGTNj
Southeast Asia,"September 01, 2018",2018,1,NA,1,NA,Vehicle Accident,"Highway 12, outside Mae Sot, Tak province, Thailand","16.704349118212, 98.542564222510","https://bit.ly/2wEA5V7, https://bit.ly/2wCZZt3"
Mediterranean,"September 01, 2018",2018,130,1,1,20,Presumed drowning,"Off the coast of Al Khums, Libya","32.724921395263, 14.348923069922","https://bit.ly/2x0ZNnI, https://bit.ly/2NKMePw, https://bit.ly/2p2iva8"
US-Mexico Border,"August 31, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near Harlingen, on border between Hidalgo and Cameron County, Texas","26.052069129751, -97.850512008569",https://bit.ly/2oKGTNj
US-Mexico Border,"August 30, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near International Bridge II, Eagle Pass, Maverick County, Texas, USA","28.698480107631, -100.510242529640",https://bit.ly/2NKOxSv
Horn of Africa,"August 29, 2018",2018,33,11,22,NA,Drowning,"Off the coast of Nashmia, district of Rudum, Shabwa Governorate, Yemen","13.928812408127, 48.993845334375","https://bit.ly/2NFSTKN, https://bit.ly/2MHzFb3, https://bit.ly/2PqlLXZ, https://bit.ly/2LQCCkk"
US-Mexico Border,"August 29, 2018",2018,1,NA,1,NA,Dehydration,"Ranch near USBP Checkpoint Highway 83, Webb County, Texas, USA","28.004407539922, -99.567097186816",https://bit.ly/2LSo1oH
US-Mexico Border,"August 29, 2018",2018,1,NA,1,NA,Unknown,"Pima County, Arizona, USA","32.057701900000, -112.143021500000",http://www.humaneborders.info/app/map.asp
